waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.000000	6.005792E-1
01-01-1904  00:00:00.000025	5.878297E-1
01-01-1904  00:00:00.000050	5.942044E-1
01-01-1904  00:00:00.000075	5.942044E-1
01-01-1904  00:00:00.000100	6.005792E-1
01-01-1904  00:00:00.000125	5.929295E-1
01-01-1904  00:00:00.000150	5.916546E-1
01-01-1904  00:00:00.000175	6.005792E-1
01-01-1904  00:00:00.000200	5.993042E-1
01-01-1904  00:00:00.000225	5.878297E-1
01-01-1904  00:00:00.000250	5.954794E-1
01-01-1904  00:00:00.000275	5.942044E-1
01-01-1904  00:00:00.000300	5.993042E-1
01-01-1904  00:00:00.000325	5.954794E-1
01-01-1904  00:00:00.000350	5.929295E-1
01-01-1904  00:00:00.000375	5.980293E-1
01-01-1904  00:00:00.000400	5.967543E-1
01-01-1904  00:00:00.000425	6.069539E-1
01-01-1904  00:00:00.000450	5.840049E-1
01-01-1904  00:00:00.000475	6.031290E-1
01-01-1904  00:00:00.000500	5.942044E-1
01-01-1904  00:00:00.000525	6.005792E-1
01-01-1904  00:00:00.000550	5.891047E-1
01-01-1904  00:00:00.000575	5.993042E-1
01-01-1904  00:00:00.000600	5.967543E-1
01-01-1904  00:00:00.000625	5.993042E-1
01-01-1904  00:00:00.000650	5.954794E-1
01-01-1904  00:00:00.000675	5.903796E-1
01-01-1904  00:00:00.000700	6.005792E-1
01-01-1904  00:00:00.000725	5.954794E-1
01-01-1904  00:00:00.000750	5.942044E-1
01-01-1904  00:00:00.000775	5.929295E-1
01-01-1904  00:00:00.000800	5.980293E-1
01-01-1904  00:00:00.000825	6.056789E-1
01-01-1904  00:00:00.000850	5.878297E-1
01-01-1904  00:00:00.000875	5.954794E-1
01-01-1904  00:00:00.000900	5.980293E-1
01-01-1904  00:00:00.000925	6.031290E-1
01-01-1904  00:00:00.000950	5.954794E-1
01-01-1904  00:00:00.000975	5.967543E-1
01-01-1904  00:00:00.001000	5.993042E-1
01-01-1904  00:00:00.001025	6.069539E-1
01-01-1904  00:00:00.001050	5.865548E-1
01-01-1904  00:00:00.001075	5.967543E-1
01-01-1904  00:00:00.001100	5.942044E-1
01-01-1904  00:00:00.001125	6.056789E-1
01-01-1904  00:00:00.001150	5.942044E-1
