depth[mm]	HF [V]	NF [V]	TGC [dB]
0,0	0,329	-0,078	0,000
0,1	0,495	0,371	0,157
0,3	0,663	0,651	-0,157
0,4	0,805	0,252	0,000
0,5	0,902	-0,558	0,315
0,7	0,947	-0,937	0,315
0,8	0,930	-0,473	0,157
1,0	0,847	0,326	0,000
1,1	0,700	0,679	0,000
1,2	0,513	0,416	0,000
1,4	0,325	0,002	0,000
1,5	0,183	-0,159	0,157
1,6	0,127	-0,107	0,000
1,8	0,170	-0,048	0,000
1,9	0,303	0,027	0,000
2,0	0,498	0,267	0,000
2,2	0,715	0,649	0,000
2,3	0,909	0,898	0,000
2,5	1,044	0,759	0,000
2,6	1,102	0,260	0,000
2,7	1,090	-0,324	0,000
2,9	1,039	-0,740	0,000
3,0	0,990	-0,933	0,000
3,1	0,972	-0,964	0,000
3,3	0,991	-0,822	0,000
3,4	1,029	-0,416	0,000
3,5	1,055	0,213	0,000
3,7	1,044	0,786	0,000
3,8	0,990	0,986	0,000
4,0	0,909	0,758	0,000
4,1	0,829	0,319	0,000
4,2	0,776	-0,102	0,000
4,4	0,758	-0,438	0,000
4,5	0,762	-0,686	0,000
4,6	0,760	-0,756	0,000
4,8	0,722	-0,559	0,000
4,9	0,635	-0,179	0,000
5,1	0,511	0,150	0,000
5,2	0,382	0,276	0,000
5,3	0,283	0,256	0,000
5,5	0,233	0,230	0,000
5,6	0,227	0,228	0,000
5,7	0,239	0,177	0,000
5,9	0,243	0,043	0,000
6,0	0,222	-0,101	0,000
6,1	0,179	-0,163	0,000
6,3	0,130	-0,134	0,000
6,4	0,092	-0,080	0,000
6,6	0,076	-0,057	0,000
6,7	0,080	-0,059	0,000
6,8	0,095	-0,047	0,000
7,0	0,107	-0,002	0,000
7,1	0,108	0,055	0,000
7,2	0,097	0,087	0,000
7,4	0,077	0,077	0,000
7,5	0,055	0,045	0,000
7,6	0,040	0,021	0,000
7,8	0,033	0,013	0,000
7,9	0,035	0,001	0,000
8,1	0,041	-0,023	0,000
8,2	0,046	-0,044	0,000
8,3	0,045	-0,038	0,000
8,5	0,040	-0,009	0,000
8,6	0,031	0,018	0,000
8,7	0,022	0,022	0,000
8,9	0,014	0,009	0,000
9,0	0,009	-0,003	0,000
9,1	0,008	-0,007	0,000
9,3	0,011	-0,010	0,000
9,4	0,017	-0,016	0,000
9,6	0,025	-0,021	0,000
9,7	0,034	-0,016	0,000
9,8	0,042	0,002	0,000
10,0	0,048	0,027	0,000
10,1	0,051	0,046	0,000
10,2	0,050	0,050	0,000
10,4	0,047	0,040	0,000
10,5	0,044	0,024	0,000
10,6	0,043	0,009	0,000
10,8	0,045	-0,004	0,000
10,9	0,050	-0,022	0,000
11,1	0,058	-0,046	0,000
11,2	0,066	-0,065	0,000
11,3	0,070	-0,064	0,000
11,5	0,070	-0,042	0,000
11,6	0,067	-0,008	0,000
11,7	0,064	0,022	0,000
11,9	0,061	0,043	0,000
12,0	0,060	0,057	0,000
12,1	0,061	0,061	0,000
12,3	0,061	0,050	0,000
12,4	0,061	0,025	0,000
12,6	0,059	-0,008	0,000
12,7	0,056	-0,036	0,000
12,8	0,052	-0,050	0,000
13,0	0,048	-0,047	0,000
13,1	0,044	-0,032	0,000
13,2	0,041	-0,012	0,000
13,4	0,038	0,007	0,000
13,5	0,036	0,022	0,000
13,7	0,035	0,032	0,000
13,8	0,035	0,035	0,000
13,9	0,036	0,028	0,000
14,1	0,035	0,010	0,000
14,2	0,033	-0,011	0,000
14,3	0,031	-0,025	0,000
14,5	0,028	-0,028	0,000
14,6	0,025	-0,022	0,000
14,7	0,023	-0,012	0,000
14,9	0,022	-0,002	0,000
15,0	0,023	0,008	0,000
15,2	0,023	0,019	0,000
15,3	0,023	0,023	0,000
15,4	0,021	0,018	0,000
15,6	0,018	0,006	0,000
15,7	0,014	-0,005	0,000
15,8	0,010	-0,008	0,000
16,0	0,008	-0,007	0,000
16,1	0,007	-0,007	0,000
16,2	0,008	-0,008	0,000
16,4	0,010	-0,006	0,000
16,5	0,011	0,001	0,000
16,7	0,010	0,007	0,000
16,8	0,008	0,008	0,000
16,9	0,005	0,003	0,000
17,1	0,003	-0,001	0,000
17,2	0,002	0,000	0,000
17,3	0,003	0,004	0,000
17,5	0,006	0,003	0,000
17,6	0,008	-0,002	0,000
17,7	0,009	-0,008	0,000
17,9	0,008	-0,008	0,000
18,0	0,006	-0,004	0,000
18,2	0,005	-0,001	0,000
18,3	0,004	-0,002	0,000
18,4	0,006	-0,004	0,000
18,6	0,008	-0,002	0,000
18,7	0,011	0,003	0,000
